State_Code_Dest,County_Code_Dest,State_Code_Origin,County_Code_Origin,State_Abbrv,County_Name,Return_Num,Exmpt_Num,Aggr_AGI,,
26,019,58,000,SS,Other Flows - Same State,105,184,"4,615",,
26,019,59,000,DS,Other Flows - Diff State,132,261,"7,095",,
26,019,59,001,DS,Other Flows - Northeast,11,23,665,,
26,019,59,003,DS,Other Flows - Midwest,49,92,"2,946",,
26,019,59,005,DS,Other Flows - South,48,95,"1,895",,
26,019,59,007,DS,Other Flows - West,24,51,"1,588",,
26,021,96,000,MI,Berrien County Tot Mig-US & For,"3,073","5,960","147,134",,
26,021,97,000,MI,Berrien County Tot Mig-US,"2,995","5,851","146,030",,
26,021,97,001,MI,Berrien County Tot Mig-Same St,"1,174","2,203","42,028",,
26,021,97,003,MI,Berrien County Tot Mig-Diff St,"1,821","3,648","104,002",,
26,021,98,000,MI,Berrien County Tot Mig-Foreign,78,109,"1,104",,
26,021,26,021,MI,Berrien County Non-Migrants,"58,852","125,176","3,022,728",,
26,021,18,141,IN,St Joseph County,282,506,"14,644",,
26,021,26,027,MI,Cass County,233,455,"7,284",,
26,021,26,159,MI,Van Buren County,231,458,"7,060",,
26,021,17,031,IL,Cook County,151,250,"12,226",,
26,021,26,077,MI,Kalamazoo County,117,198,"3,620",,
26,021,26,081,MI,Kent County,90,170,"3,049",,
26,021,18,091,IN,Laporte County,75,160,"2,757",,
26,021,26,125,MI,Oakland County,55,113,"4,589",,
26,021,18,039,IN,Elkhart County,49,95,"5,242",,
26,021,26,139,MI,Ottawa County,40,83,"1,640",,
26,021,26,163,MI,Wayne County,36,57,"1,632",,
26,021,26,005,MI,Allegan County,33,58,"1,125",,
26,021,18,097,IN,Marion County,31,65,787,,
26,021,26,065,MI,Ingham County,27,54,830,,
26,021,26,073,MI,Isabella County,24,42,764,,
26,021,26,149,MI,St Joseph County,24,42,506,,
26,021,26,161,MI,Washtenaw County,23,42,"1,041",,
26,021,17,043,IL,Dupage County,22,35,"2,266",,
26,021,39,049,OH,Franklin County,19,40,"1,408",,
26,021,26,025,MI,Calhoun County,18,32,422,,
26,021,04,013,AZ,Maricopa County,17,30,"1,056",,
26,021,26,049,MI,Genesee County,17,25,"1,128",,
26,021,26,099,MI,Macomb County,16,39,687,,
26,021,26,121,MI,Muskegon County,16,28,292,,
26,021,32,003,NV,Clark County,16,25,536,,
26,021,12,095,FL,Orange County,15,32,607,,
26,021,18,089,IN,Lake County,15,28,637,,
26,021,06,073,CA,San Diego County,14,37,445,,
26,021,17,097,IL,Lake County,14,28,"1,051",,
26,021,17,197,IL,Will County,14,30,583,,
26,021,18,127,IN,Porter County,14,27,685,,
26,021,04,019,AZ,Pima County,13,24,623,,
26,021,06,037,CA,Los Angeles County,13,28,736,,
26,021,26,075,MI,Jackson County,12,24,499,,
26,021,26,045,MI,Eaton County,11,12,332,,
26,021,57,005,FR,Foreign - APO/FPO ZIPs,11,17,420,,
26,021,13,121,GA,Fulton County,10,17,519,,
26,021,58,000,SS,Other Flows - Same State,151,271,"5,529",,
26,021,59,000,DS,Other Flows - Diff State,"1,037","2,191","57,195",,
26,021,59,001,DS,Other Flows - Northeast,108,231,"7,698",,
26,021,59,003,DS,Other Flows - Midwest,324,683,"21,279",,
26,021,59,005,DS,Other Flows - South,468,983,"21,877",,
26,021,59,007,DS,Other Flows - West,137,294,"6,342",,
26,021,57,009,FR,Foreign - Other flows,67,92,684,,
26,023,96,000,MI,Branch County Tot Mig-US & For,853,"1,644","26,119",,
26,023,97,000,MI,Branch County Tot Mig-US,853,"1,644","26,119",,
26,023,97,001,MI,Branch County Tot Mig-Same St,558,"1,072","15,842",,
26,023,97,003,MI,Branch County Tot Mig-Diff St,295,572,"10,277",,
26,023,98,000,MI,Branch County Tot Mig-Foreign,d,d,d,,
26,023,26,023,MI,Branch County Non-Migrants,"15,891","35,320","679,203",,
26,023,26,025,MI,Calhoun County,167,324,"5,231",,
26,023,26,059,MI,Hillsdale County,110,220,"3,227",,
26,023,26,149,MI,St Joseph County,102,196,"2,178",,
26,023,18,151,IN,Steuben County,38,68,"1,216",,
26,023,26,163,MI,Wayne County,26,61,613,,
26,023,26,075,MI,Jackson County,20,26,458,,
26,023,26,077,MI,Kalamazoo County,19,29,514,,
26,023,18,003,IN,Allen County,14,22,918,,
26,023,18,087,IN,Lagrange County,14,40,334,,
26,023,58,000,SS,Other Flows - Same State,114,216,"3,621",,
26,023,59,000,DS,Other Flows - Diff State,229,442,"7,809",,
26,023,59,001,DS,Other Flows - Northeast,22,39,782,,
26,023,59,003,DS,Other Flows - Midwest,90,161,"3,953",,
26,023,59,005,DS,Other Flows - South,84,183,"2,120",,
26,023,59,007,DS,Other Flows - West,33,59,955,,
26,025,96,000,MI,Calhoun County Tot Mig-US & For,"2,319","4,368","80,992",,
26,025,97,000,MI,Calhoun County Tot Mig-US,"2,297","4,328","80,365",,
26,025,97,001,MI,Calhoun County Tot Mig-Same St,"1,543","2,849","49,788",,
26,025,97,003,MI,Calhoun County Tot Mig-Diff St,754,"1,479","30,577",,
26,025,98,000,MI,Calhoun County Tot Mig-Foreign,22,40,627,,
26,025,26,025,MI,Calhoun County Non-Migrants,"48,351","102,954","2,358,853",,
26,025,26,077,MI,Kalamazoo County,359,619,"11,927",,
26,025,26,023,MI,Branch County,187,377,"5,496",,
26,025,26,075,MI,Jackson County,137,312,"4,761",,
26,025,26,045,MI,Eaton County,134,257,"4,734",,
26,025,26,015,MI,Barry County,131,249,"3,963",,
26,025,26,163,MI,Wayne County,60,101,"2,245",,
26,025,26,081,MI,Kent County,54,78,"1,372",,
26,025,26,065,MI,Ingham County,48,71,"1,594",,
26,025,26,125,MI,Oakland County,38,76,"1,741",,
26,025,26,059,MI,Hillsdale County,34,68,911,,
26,025,26,149,MI,St Joseph County,29,47,812,,
26,025,17,031,IL,Cook County,25,38,690,,
26,025,26,049,MI,Genesee County,24,44,925,,
26,025,26,161,MI,Washtenaw County,23,32,674,,
26,025,26,099,MI,Macomb County,21,42,831,,
26,025,26,021,MI,Berrien County,20,37,454,,
26,025,26,005,MI,Allegan County,19,47,464,,
26,025,26,139,MI,Ottawa County,18,33,569,,
26,025,26,093,MI,Livingston County,16,23,878,,
26,025,26,159,MI,Van Buren County,16,32,583,,
26,025,26,091,MI,Lenawee County,14,27,372,,
26,025,32,003,NV,Clark County,14,24,363,,
26,025,04,013,AZ,Maricopa County,13,29,347,,
26,025,18,003,IN,Allen County,13,33,637,,
26,025,06,073,CA,San Diego County,12,26,455,,
26,025,26,145,MI,Saginaw County,12,17,175,,
26,025,57,005,FR,Foreign - APO/FPO ZIPs,12,22,518,,
26,025,26,055,MI,Grand Traverse County,10,17,234,,
26,025,58,000,SS,Other Flows - Same State,139,243,"4,074",,
26,025,59,000,DS,Other Flows - Diff State,677,"1,329","28,085",,
26,025,59,001,DS,Other Flows - Northeast,54,103,"3,331",,
26,025,59,003,DS,Other Flows - Midwest,218,442,"11,659",,
26,025,59,005,DS,Other Flows - South,311,607,"9,593",,
26,025,59,007,DS,Other Flows - West,94,177,"3,502",,
26,025,57,009,FR,Foreign - Other flows,10,18,109,,
26,027,96,000,MI,Cass County Tot Mig-US & For,"1,277","2,649","54,844",,
26,027,97,000,MI,Cass County Tot Mig-US,"1,277","2,649","54,844",,
26,027,97,001,MI,Cass County Tot Mig-Same St,538,"1,112","16,024",,
26,027,97,003,MI,Cass County Tot Mig-Diff St,739,"1,537","38,820",,
26,027,98,000,MI,Cass County Tot Mig-Foreign,d,d,d,,
26,027,26,027,MI,Cass County Non-Migrants,"19,075","41,147","969,395",,
26,027,18,039,IN,Elkhart County,243,538,"10,058",,
26,027,26,021,MI,Berrien County,222,461,"7,311",,
26,027,18,141,IN,St Joseph County,213,460,"17,081",,
26,027,26,149,MI,St Joseph County,104,222,"2,867",,
26,027,26,159,MI,Van Buren County,74,171,"2,050",,
26,027,26,077,MI,Kalamazoo County,42,74,"1,014",,
26,027,17,031,IL,Cook County,26,49,"1,972",,
26,027,58,000,SS,Other Flows - Same State,96,184,"2,782",,
26,027,59,000,DS,Other Flows - Diff State,257,490,"9,710",,
26,027,59,001,DS,Other Flows - Northeast,10,13,"1,157",,
26,027,59,003,DS,Other Flows - Midwest,111,213,"4,399",,
26,027,59,005,DS,Other Flows - South,90,178,"2,248",,
26,027,59,007,DS,Other Flows - West,46,86,"1,906",,
26,029,96,000,MI,Charlevoix Coun Tot Mig-US & For,661,"1,180","25,107",,
26,029,97,000,MI,Charlevoix Coun Tot Mig-US,661,"1,180","25,107",,
26,029,97,001,MI,Charlevoix Coun Tot Mig-Same St,507,899,"18,512",,
26,029,97,003,MI,Charlevoix Coun Tot Mig-Diff St,154,281,"6,595",,
26,029,98,000,MI,Charlevoix Coun Tot Mig-Foreign,d,d,d,,
26,029,26,029,MI,Charlevoix Coun Non-Migrants,"10,279","21,713","579,572",,
26,029,26,047,MI,Emmet County,137,246,"3,895",,
26,029,26,009,MI,Antrim County,52,99,"1,231",,
26,029,26,125,MI,Oakland County,28,40,"2,135",,
26,029,26,081,MI,Kent County,26,51,663,,
26,029,26,055,MI,Grand Traverse County,24,38,626,,
26,029,26,137,MI,Otsego County,21,40,547,,
26,029,26,163,MI,Wayne County,19,39,"1,287",,
26,029,26,031,MI,Cheboygan County,12,33,548,,
26,029,26,049,MI,Genesee County,12,16,707,,
26,029,26,065,MI,Ingham County,11,22,494,,
26,029,26,079,MI,Kalkaska County,10,18,241,,
26,029,58,000,SS,Other Flows - Same State,155,257,"6,138",,
26,029,59,000,DS,Other Flows - Diff State,154,281,"6,595",,
26,029,59,001,DS,Other Flows - Northeast,14,35,628,,
26,029,59,003,DS,Other Flows - Midwest,39,67,"1,333",,
26,029,59,005,DS,Other Flows - South,67,116,"2,696",,
26,029,59,007,DS,Other Flows - West,34,63,"1,938",,
26,031,96,000,MI,Cheboygan Count Tot Mig-US & For,591,"1,062","25,029",,
26,031,97,000,MI,Cheboygan Count Tot Mig-US,591,"1,062","25,029",,
26,031,97,001,MI,Cheboygan Count Tot Mig-Same St,449,801,"19,397",,
26,031,97,003,MI,Cheboygan Count Tot Mig-Diff St,142,261,"5,632",,
26,031,98,000,MI,Cheboygan Count Tot Mig-Foreign,d,d,d,,
26,031,26,031,MI,Cheboygan Count Non-Migrants,"10,329","21,557","432,843",,
26,031,26,047,MI,Emmet County,93,172,"4,169",,
26,031,26,141,MI,Presque Isle County,41,81,933,,
26,031,26,163,MI,Wayne County,31,60,"2,389",,
26,031,26,049,MI,Genesee County,26,44,"1,303",,
26,031,26,125,MI,Oakland County,26,40,"1,434",,
26,031,26,137,MI,Otsego County,24,39,597,,
26,031,26,099,MI,Macomb County,21,42,"1,129",,
26,031,26,097,MI,Mackinac County,19,30,404,,
26,031,26,081,MI,Kent County,14,21,453,,
26,031,26,033,MI,Chippewa County,13,19,138,,
26,031,26,029,MI,Charlevoix County,11,18,332,,
26,031,58,000,SS,Other Flows - Same State,130,235,"6,117",,
26,031,59,000,DS,Other Flows - Diff State,142,261,"5,632",,
26,033,96,000,MI,Chippewa County Tot Mig-US & For,667,"1,251","22,283",,
26,033,97,000,MI,Chippewa County Tot Mig-US,652,"1,224","21,834",,
26,033,97,001,MI,Chippewa County Tot Mig-Same St,397,714,"11,615",,
26,033,97,003,MI,Chippewa County Tot Mig-Diff St,255,510,"10,219",,
26,033,98,000,MI,Chippewa County Tot Mig-Foreign,15,27,449,,
26,033,26,033,MI,Chippewa County Non-Migrants,"12,716","26,552","526,717",,
26,033,26,097,MI,Mackinac County,53,100,"1,506",,
26,033,26,047,MI,Emmet County,21,34,423,,
26,033,26,049,MI,Genesee County,19,43,615,,
26,033,26,163,MI,Wayne County,19,28,577,,
26,033,26,081,MI,Kent County,17,31,559,,
26,033,26,031,MI,Cheboygan County,16,33,704,,
26,033,26,125,MI,Oakland County,15,31,832,,
26,033,26,099,MI,Macomb County,13,21,493,,
26,033,26,103,MI,Marquette County,11,17,278,,
26,033,58,000,SS,Other Flows - Same State,213,376,"5,630",,
26,033,59,000,DS,Other Flows - Diff State,255,510,"10,219",,
26,033,59,001,DS,Other Flows - Northeast,27,48,"1,093",,
26,033,59,003,DS,Other Flows - Midwest,85,186,"3,672",,
26,033,59,005,DS,Other Flows - South,81,155,"2,519",,
26,033,59,007,DS,Other Flows - West,62,121,"2,935",,
26,033,57,009,FR,Foreign - Other flows,15,27,449,,
26,035,96,000,MI,Clare County Tot Mig-US & For,748,"1,440","22,287",,
26,035,97,000,MI,Clare County Tot Mig-US,748,"1,440","22,287",,
26,035,97,001,MI,Clare County Tot Mig-Same St,609,"1,146","18,658",,
26,035,97,003,MI,Clare County Tot Mig-Diff St,139,294,"3,629",,
26,035,98,000,MI,Clare County Tot Mig-Foreign,d,d,d,,
26,035,26,035,MI,Clare County Non-Migrants,"10,940","23,249","400,827",,
26,035,26,073,MI,Isabella County,100,189,"2,795",,
26,035,26,111,MI,Midland County,50,98,"1,604",,
26,035,26,051,MI,Gladwin County,39,82,"1,156",,
26,035,26,163,MI,Wayne County,37,71,"1,214",,
26,035,26,049,MI,Genesee County,35,58,825,,
26,035,26,099,MI,Macomb County,34,60,"1,465",,
26,035,26,125,MI,Oakland County,28,54,"1,078",,
26,035,26,133,MI,Osceola County,22,41,626,,
26,035,26,065,MI,Ingham County,21,29,557,,
26,035,26,145,MI,Saginaw County,17,36,460,,
26,035,26,037,MI,Clinton County,14,23,386,,
26,035,26,057,MI,Gratiot County,14,25,325,,
26,035,26,093,MI,Livingston County,14,30,482,,
26,035,26,045,MI,Eaton County,10,15,460,,
26,035,26,143,MI,Roscommon County,10,24,393,,
26,035,58,000,SS,Other Flows - Same State,164,311,"4,831",,
26,035,59,000,DS,Other Flows - Diff State,139,294,"3,629",,
26,037,96,000,MI,Clinton County Tot Mig-US & For,"2,140","3,788","87,364",,
26,037,97,000,MI,Clinton County Tot Mig-US,"2,088","3,722","84,853",,
26,037,97,001,MI,Clinton County Tot Mig-Same St,"1,757","3,065","69,744",,
26,037,97,003,MI,Clinton County Tot Mig-Diff St,331,657,"15,109",,
26,037,98,000,MI,Clinton County Tot Mig-Foreign,52,66,"2,511",,
26,037,26,037,MI,Clinton County Non-Migrants,"26,312","60,999","1,659,815",,
26,037,26,065,MI,Ingham County,763,"1,360","32,617",,
26,037,26,045,MI,Eaton County,238,403,"9,930",,
26,037,26,155,MI,Shiawassee County,132,235,"4,048",,
26,037,26,067,MI,Ionia County,71,134,"1,953",,
26,037,26,057,MI,Gratiot County,63,121,"2,424",,
26,037,26,081,MI,Kent County,58,101,"2,286",,
26,037,26,125,MI,Oakland County,34,47,"1,372",,
26,037,26,145,MI,Saginaw County,31,64,"1,286",,
26,037,26,049,MI,Genesee County,27,50,"1,042",,
26,037,26,163,MI,Wayne County,25,38,837,,
26,037,26,093,MI,Livingston County,23,36,"1,012",,
26,037,26,075,MI,Jackson County,21,32,737,,
26,037,26,077,MI,Kalamazoo County,21,35,"1,016",,
26,037,26,099,MI,Macomb County,19,20,620,,
26,037,26,117,MI,Montcalm County,19,30,457,,
26,037,26,073,MI,Isabella County,14,25,637,,
