"d_fips","n_return_in","n_exempt_in","agi","year"
"13023",947,1927,26907,2009
"13025",1755,3831,40631,2009
"13027",1739,3723,45437,2009
"13029",7181,17426,333082,2009
"13031",7794,14256,231796,2009
"13033",2076,4408,53624,2009
"13035",2863,6039,93308,2009
"13037",447,1039,9448,2009
"13039",9239,19586,331779,2009
"13043",1071,2467,30307,2009
"13045",11750,24241,378339,2009
"13047",8028,17115,267731,2009
"13049",907,1851,22960,2009
"13051",38932,70445,1385865,2009
"13053",5223,13774,170980,2009
"13055",1415,3179,42407,2009
"13057",27092,54066,1309567,2009
"13059",19038,30249,553512,2009
"13061",227,483,3935,2009
"13063",48217,101071,1171643,2009
"13065",463,1027,11959,2009
"13067",104600,187103,4275238,2009
"13069",2951,6226,88388,2009
"13071",2842,6248,88807,2009
"13073",17831,40856,865847,2009
"13075",1583,3351,41612,2009
"13077",15920,34643,759706,2009
"13079",1203,2499,34566,2009
"13081",1723,3979,48696,2009
"13083",1503,3095,43311,2009
"13085",3315,6662,138829,2009
"13087",2270,4849,70789,2009
"13089",121186,213234,4582516,2009
"13091",1327,2699,33987,2009
"13093",879,1855,22147,2009
"13095",9742,19424,283836,2009
"13097",22380,47981,784917,2009
"13099",699,1579,18131,2009
"13101",315,667,7148,2009
"13103",7279,16265,295586,2009
"13105",1347,2863,32218,2009
"13107",1926,4140,52647,2009
"13109",1039,2319,24839,2009
"13111",2476,5003,102413,2009
"13113",12458,27908,724282,2009
"13115",7082,14473,244566,2009
"13117",21936,48622,1498634,2009
"13119",2271,4947,62199,2009
"13121",254029,377370,7703292,2009
"13123",2723,5403,106167,2009
"13125",247,531,6697,2009
"13127",8781,17157,506452,2009
"13129",4489,10190,129632,2009
"13131",1903,3875,51444,2009
"13133",1718,3397,413222,2009
"13135",98145,202220,3799756,2009
"13137",3990,8345,141017,2009
"13139",16814,34321,675270,2009
"13141",567,1167,15031,2009
"13143",3039,6447,92824,2009
"13145",4022,8979,203233,2009
"13147",1767,3939,73088,2009
"13149",1179,2579,38566,2009
"13151",31537,69216,1130715,2009
"13153",19639,41503,733148,2009
"13155",1035,2487,24304,2009
"13157",8020,17422,336479,2009
"13159",1779,3803,60165,2009
"13161",1111,2507,26903,2009
"13163",1139,2471,34309,2009
"13165",607,1303,15820,2009
"13167",615,1271,15627,2009
"13169",2719,5983,95656,2009
"13171",2035,4167,59706,2009
"13173",1337,3113,40636,2009
"13175",3731,7845,112442,2009
"13177",4838,10982,215799,2009
"13179",21623,48593,527436,2009
"13181",607,1299,21666,2009
"13183",2970,7216,74066,2009
"13185",14653,28710,439749,2009
"13187",4057,7984,142145,2009
"13189",1847,3887,55530,2009
"13191",1303,2595,49967,2009
"13193",807,1759,22864,2009
"13195",3372,7166,101615,2009
"13197",779,1599,20855,2009
"13199",2347,4911,66853,2009
"13201",567,1223,14676,2009
"13205",1703,3535,35835,2009
"13207",2754,5872,124069,2009
"13209",923,2039,26458,2009
"13211",1723,3687,74759,2009
"13213",3870,9255,102259,2009
"13215",31021,65116,951943,2009
"13217",14445,31491,461124,2009
"13219",4045,9070,275132,2009
"13221",1627,3391,46913,2009
"13223",19400,41771,771528,2009
"13225",3630,7584,121395,2009
"13227",3428,7179,159974,2009
"13229",2107,4695,59222,2009
"13231",1935,4291,78028,2009
"13233",3172,7066,89520,2009
"13235",875,1979,24948,2009
"13237",2410,4777,103222,2009
"13239",283,591,5679,2009
"13241",1431,2783,75274,2009
"13243",555,1255,15576,2009
"13245",28091,55043,822478,2009
"13247",13756,29490,440553,2009
"13249",379,1011,12219,2009
"13251",1043,2295,27298,2009
"13253",823,1795,19943,2009
"13255",7578,16082,253663,2009
"13257",2515,5266,67467,2009
"13259",447,959,10976,2009
"13261",2413,4876,76221,2009
"13263",667,1339,20804,2009
"13265",73,163,1841,2009
"13267",2136,4756,52691,2009
"13269",555,1155,16043,2009
"13271",871,1927,19238,2009
"13273",851,1775,26751,2009
"13275",4391,9226,149003,2009
"13277",3669,7878,120712,2009
"13279",2431,5334,71862,2009
"13281",1111,2019,42739,2009
"13283",471,1119,12663,2009
"13285",5736,12221,207701,2009
"13287",807,1591,21956,2009
"13289",935,1899,24934,2009
"13291",2035,3891,86596,2009
"13293",2015,4463,57111,2009
"13295",6570,13883,184590,2009
"13297",9269,19843,352829,2009
"13299",3390,7005,90537,2009
"13301",555,1231,13315,2009
"13303",1203,2519,32621,2009
"13305",2742,5987,80687,2009
"13307",103,221,2827,2009
"13309",435,1003,10275,2009
"13311",3087,6285,109861,2009
"13313",7267,16931,209168,2009
"13315",631,1419,18539,2009
"13317",643,1363,22199,2009
"13319",927,2151,27199,2009
"13321",2059,4383,60384,2009
"15000",83857,157983,3425547,2009
"15001",13795,23848,557479,2009
"15003",86470,169733,3516947,2009
"15005",-5,-5,-5,2009
"15007",5557,9122,236168,2009
"15009",12857,19939,503485,2009
"16000",123844,257049,4499355,2009
"16001",40009,77367,1682787,2009
"16003",391,807,13257,2009
"16005",9487,19574,320449,2009
"16007",547,1111,17627,2009
"16009",783,1547,22331,2009
"16011",4123,10115,140114,2009
"16013",2747,4688,173032,2009
"16015",795,1643,42907,2009
"16017",4628,8669,200069,2009
"16019",11504,26603,435260,2009
"16021",975,2047,39196,2009
"16023",263,623,8671,2009
"16025",67,117,2373,2009
"16027",19681,41900,626975,2009
"16029",655,1523,26402,2009
"16031",2227,5479,6087,2009
"16033",33,105,1351,2009
"16035",759,1603,25263,2009
"16037",527,1127,23235,2009
"16039",5361,11083,195667,2009
"16041",1067,2615,37828,2009
"16043",1307,2919,44546,2009
"16045",1855,3935,53464,2009
"16047",1487,3571,43499,2009
"16049",1399,2627,53980,2009
"16051",3063,8159,117646,2009
"16053",2859,7207,69725,2009
"16055",15374,29738,651501,2009
"16057",5808,10065,170022,2009
"16059",823,1671,79007,2009
"16061",607,1259,18894,2009
"16063",623,1563,17659,2009
"16065",6079,13095,151869,2009
"16067",2323,5739,64466,2009
"16069",4977,8860,160018,2009
"16071",399,891,14234,2009
"16073",1363,3075,39881,2009
"16075",2627,5963,83064,2009
"16077",727,1711,20415,2009
"16079",1323,2587,40215,2009
"16081",1719,3396,79679,2009
"16083",8470,17891,281970,2009
"16085",1383,2687,58442,2009
"16087",979,2211,29484,2009
"17000",720204,1271950,32728715,2009
"17001",4750,8701,192492,2009
"17003",567,1123,16551,2009
"17005",1431,2659,46293,2009
"17007",5590,11929,292466,2009
"17009",411,787,13791,2009
"17011",2811,5211,98673,2009
"17013",299,583,10419,2009
"17015",1299,2395,46703,2009
"17017",1467,2855,44984,2009
"17019",23836,37940,796238,2009
"17021",2395,4663,76707,2009
"17023",1179,2327,40683,2009
"17025",1095,2107,27927,2009
"17027",2610,4979,96573,2009
"17029",4960,8666,142672,2009
"17031",307203,480356,14485086,2009
"17033",1327,2575,40807,2009
"17035",991,1987,31202,2009
"17037",12535,20847,432350,2009
"17039",1511,2827,56092,2009
"17041",1735,3251,55937,2009
"17043",104946,180097,5129529,2009
"17045",1287,2451,36725,2009
"17047",467,903,16341,2009
"17049",2763,4903,98832,2009
"17051",1471,2851,40704,2009
"17053",1439,2863,46440,2009
"17055",3278,6467,89190,2009
"17057",2511,4707,83442,2009
"17059",427,851,16230,2009
"17061",1059,2055,29631,2009
"17063",6090,11695,262850,2009
"17065",543,1175,19342,2009
"17067",1595,3003,49422,2009
"17069",283,547,8309,2009
"17071",731,1403,26647,2009
"17073",4780,9247,187306,2009
"17075",2167,4351,71006,2009
"17077",8721,13196,202131,2009
"17079",639,1215,18999,2009
"17081",2959,5615,95770,2009
"17083",1922,3686,77583,2009
"17085",1823,3275,78821,2009
"17087",1007,1955,35247,2009
"17089",45643,91690,2355607,2009
"17091",8079,15059,275730,2009
"17093",16224,32964,886766,2009
"17095",4302,7830,145901,2009
"17097",53898,104577,3539663,2009
"17099",8306,15113,290900,2009
"17101",1083,2079,37832,2009
"17103",3099,5427,102580,2009
"17105",2915,5303,97743,2009
"17107",2317,4236,73061,2009
"17109",3500,5734,92396,2009
"17111",24659,46103,1281636,2009
"17113",17680,31213,797253,2009
"17115",8304,15579,348439,2009
"17117",3771,7155,123783,2009
"17119",22003,39995,874356,2009
"17121",2848,5554,102074,2009
"17123",1231,2379,42973,2009
"17125",1271,2407,37126,2009
"17127",1263,2475,35494,2009
"17129",1191,2207,42926,2009
"17131",1271,2407,49404,2009
"17133",3047,5787,156071,2009
"17135",2168,4063,67343,2009
"17137",2739,4963,84251,2009
"17139",1531,3019,52372,2009
"17141",5086,10080,190417,2009
"17143",21069,37644,1042382,2009
"17145",1579,3023,45761,2009
"17147",1775,3691,74363,2009
"17149",1139,2063,32271,2009
"17151",367,659,12542,2009
"17153",511,1059,13663,2009
"17155",651,1143,23346,2009
"17157",2247,4287,70715,2009
"17159",1371,2731,43599,2009
"17161",12974,23525,474204,2009
"17163",25006,51451,1087114,2009
"17165",1783,3379,48837,2009
"17167",16021,28283,614352,2009
"17169",651,1195,19029,2009
"17171",411,819,12431,2009
"17173",1919,3687,59074,2009
