"GEOID1","MOVEDOUT_M","MOVEDIN","MOVEDOUT","MOVEDNET","MOVEDNET_M","year"
"2610379780",26,57,26,31,31,2014
"2610380780",0,7,0,7,7,2014
"2610385260",11,15,11,4,4,2014
"2610385540",283,323,283,40,40,2014
"2610314540",7,28,7,21,21,2015
"2610315660",680,555,680,-150,-150,2015
"2610325820",74,159,74,85,85,2015
"2610326840",8,4,8,-4,-4,2015
"2610329720",633,514,633,-119,-119,2015
"2610339940",17,62,17,45,45,2015
"2610341220",469,321,469,-154,-154,2015
"2610341240",93,147,93,54,54,2015
"2610351900",2449,3636,2449,1097,1097,2015
"2610351920",317,775,317,410,410,2015
"2610353540",12,6,12,-6,-6,2015
"2610356860",549,394,549,-161,-161,2015
"2610356880",181,203,181,16,16,2015
"2610366120",38,16,38,-22,-22,2015
"2610368000",7,38,7,28,28,2015
"2610368420",14,13,14,-1,-1,2015
"2610371460",40,142,40,87,87,2015
"2610374110",88,43,88,-48,-48,2015
"2610379780",20,73,20,53,53,2015
"2610380780",0,7,0,7,7,2015
"2610385260",11,3,11,-8,-8,2015
"2610385540",281,299,281,18,18,2015
"2610314540",21,31,21,10,10,2016
"2610315660",425,416,425,-39,-39,2016
"2610325820",40,182,40,138,138,2016
"2610326840",7,5,7,-2,-2,2016
"2610329720",764,505,764,-259,-259,2016
"2610339940",16,79,16,63,63,2016
"2610341220",502,489,502,-21,-21,2016
"2610341240",104,142,104,38,38,2016
"2610351900",2630,3431,2630,735,735,2016
"2610351920",319,730,319,363,363,2016
"2610353540",96,4,96,-92,-92,2016
"2610356860",395,417,395,15,15,2016
"2610356880",201,199,201,-22,-22,2016
"2610366120",17,24,17,7,7,2016
"2610368000",19,50,19,28,28,2016
"2610368420",22,30,22,8,8,2016
"2610371460",200,187,200,-19,-19,2016
"2610374110",69,65,69,-7,-7,2016
"2610379780",36,76,36,40,40,2016
"2610380780",0,10,0,10,10,2016
"2610385260",18,5,18,-14,-14,2016
"2610385540",208,287,208,79,79,2016
"2608908440",67,207,67,140,140,2010
"2608914340",303,95,303,-220,-220,2010
"2608916400",0,90,0,81,81,2010
"2608925700",196,424,196,220,220,2010
"2608926000",198,66,198,-136,-136,2010
"2608932380",131,32,131,-99,-99,2010
"2608942320",8,99,8,91,91,2010
"2608946700",105,96,105,-9,-9,2010
"2608946820",138,81,138,-57,-57,2010
"2608974500",73,109,73,36,36,2010
"2608977620",356,292,356,-71,-71,2010
"2608980340",170,16,170,-154,-154,2010
"2608908440",125,304,125,179,179,2011
"2608914340",92,109,92,8,8,2011
"2608916400",24,61,24,22,22,2011
"2608925700",228,373,228,131,131,2011
"2608926000",205,58,205,-150,-150,2011
"2608932380",60,50,60,-10,-10,2011
"2608942320",27,91,27,64,64,2011
"2608946700",90,47,90,-43,-43,2011
"2608946820",183,147,183,-41,-41,2011
"2608974500",113,124,113,11,11,2011
"2608977620",390,231,390,-163,-163,2011
"2608980340",99,0,99,-99,-99,2011
"2608908440",125,185,125,60,60,2012
"2608914340",35,114,35,71,71,2012
"2608916400",66,49,66,-17,-17,2012
"2608925700",222,441,222,205,205,2012
"2608926000",41,51,41,6,6,2012
"2608932380",31,53,31,12,12,2012
"2608942320",63,71,63,8,8,2012
"2608946700",69,60,69,-9,-9,2012
"2608946820",204,158,204,-52,-52,2012
"2608974500",121,104,121,-17,-17,2012
"2608977620",339,321,339,-23,-23,2012
"2608980340",179,0,179,-179,-179,2012
"2608908440",154,185,154,31,31,2013
"2608914340",28,93,28,58,58,2013
"2608916400",75,83,75,8,8,2013
"2608925700",260,569,260,309,309,2013
"2608926000",48,88,48,40,40,2013
"2608932380",19,42,19,15,15,2013
"2608942320",106,87,106,-26,-26,2013
"2608946700",113,67,113,-57,-57,2013
"2608946820",156,144,156,-18,-18,2013
"2608974500",133,87,133,-46,-46,2013
"2608977620",314,258,314,-56,-56,2013
"2608980340",169,0,169,-169,-169,2013
"2608908440",194,177,194,-17,-17,2014
"2608914340",29,98,29,66,66,2014
"2608916400",71,75,71,4,4,2014
"2608925700",289,648,289,359,359,2014
"2608926000",16,75,16,59,59,2014
"2608932380",35,40,35,-1,-1,2014
"2608942320",165,76,165,-100,-100,2014
"2608946700",125,154,125,19,19,2014
