"o_fips","n_return_out","n_exempt_out","agi","year"
"08119",4386,8288,196854,2012
"08121",509,997,24921,2012
"08123",30888,63688,1495191,2012
"08125",1096,2487,43403,2012
"09000",221263,372840,19777154,2012
"09001",72686,125953,13443448,2012
"09003",71282,118257,4438789,2012
"09005",17245,28516,995529,2012
"09007",18541,30386,1202464,2012
"09009",69141,115690,3927767,2012
"09011",28762,51270,1570715,2012
"09013",17279,27986,1086422,2012
"09015",11761,20110,509724,2012
"10000",57352,105014,3147434,2012
"10001",17800,34701,669139,2012
"10003",45414,81337,3038707,2012
"10005",17827,32587,714986,2012
"11000",85116,127368,6108900,2012
"11001",116197,173821,8341008,2012
"12000",2089093,3416459,82699770,2012
"12001",41442,66366,1506531,2012
"12003",2633,5304,85575,2012
"12005",24544,45200,931384,2012
"12007",3716,7221,105047,2012
"12009",57227,98670,2365489,2012
"12011",303296,456467,12414056,2012
"12013",1498,2941,37758,2012
"12015",24731,41880,937406,2012
"12017",17741,30959,669141,2012
"12019",31409,62442,1335872,2012
"12021",54049,88404,2812647,2012
"12023",8984,16531,288487,2012
"12027",4310,8296,124815,2012
"12029",1750,3598,48858,2012
"12031",115063,208067,4977560,2012
"12033",44053,79231,1644947,2012
"12035",14809,27192,594500,2012
"12037",1338,2439,52326,2012
"12039",6701,11976,186208,2012
"12041",2414,4901,71322,2012
"12043",1920,3484,63944,2012
"12045",1923,3638,66387,2012
"12047",1803,3768,43962,2012
"12049",3419,7888,96582,2012
"12051",6656,13880,196767,2012
"12053",24231,42979,799833,2012
"12055",13634,23887,455009,2012
"12057",272623,403445,9574588,2012
"12059",2294,4999,67970,2012
"12061",18796,32274,852483,2012
"12063",5151,9872,147125,2012
"12065",1901,3570,60767,2012
"12067",598,1269,17121,2012
"12069",44370,82524,1624349,2012
"12071",81555,137830,3706275,2012
"12073",48320,73163,1717541,2012
"12075",5945,11163,170237,2012
"12077",736,1400,20783,2012
"12079",2035,3789,60455,2012
"12081",47542,80676,2006057,2012
"12083",44081,74482,1471376,2012
"12085",21608,36582,1125257,2012
"12086",390271,564159,14840523,2012
"12087",17615,28214,740379,2012
"12089",10097,19494,454432,2012
"12091",34190,66486,1528666,2012
"12093",4929,9453,154563,2012
"12095",190922,322251,6763393,2012
"12097",50590,97882,2191651,2012
"12099",161932,251422,7942014,2012
"12101",69354,120810,2547637,2012
"12103",127776,194613,5110958,2012
"12105",85068,147893,2609075,2012
"12107",9129,17250,267928,2012
"12109",27344,49832,1843648,2012
"12111",38766,70514,1450670,2012
"12113",24468,49160,1209471,2012
"12115",55217,91526,2518695,2012
"12117",74840,131679,3051582,2012
"12119",12650,21808,516474,2012
"12121",5642,11281,155083,2012
"12123",2532,4511,81272,2012
"12125",1723,3345,51865,2012
"12127",63520,107514,2185464,2012
"12129",3983,7286,127161,2012
"12131",9477,17613,394639,2012
"12133",3300,6853,102148,2012
"13000",1155991,2261089,44941259,2012
"13001",1371,2987,35059,2012
"13003",864,2184,19655,2012
"13005",923,2080,24669,2012
"13007",404,867,9280,2012
"13009",4520,8688,147813,2012
"13011",2757,6509,78946,2012
"13013",9610,20832,312331,2012
"13015",11982,26172,440542,2012
"13017",2451,4563,59921,2012
"13019",2559,5404,65948,2012
"13021",20860,39454,759384,2012
"13023",1222,2324,39069,2012
"13025",1758,4059,49418,2012
"13027",2768,5349,68890,2012
"13029",7273,17506,348672,2012
"13031",10926,18444,299800,2012
"13033",3820,7100,104806,2012
"13035",3091,6731,101563,2012
"13037",597,1278,19174,2012
"13039",9638,21351,361749,2012
"13043",1290,2838,33262,2012
"13045",15047,33646,469673,2012
"13047",8557,18223,298782,2012
"13049",1231,2654,39142,2012
"13051",44615,81016,1612490,2012
"13053",4976,14441,193957,2012
"13055",2104,4331,56725,2012
"13057",26208,52765,1363919,2012
"13059",19074,34000,647045,2012
"13061",332,751,9934,2012
"13063",71295,140335,1844131,2012
"13065",636,1196,15767,2012
"13067",121635,224648,6049103,2012
"13069",3793,8245,101967,2012
"13071",5505,14270,153571,2012
"13073",18885,41488,965416,2012
"13075",2611,5335,78531,2012
"13077",19528,51299,804040,2012
"13079",1657,3717,52920,2012
"13081",3637,6587,91486,2012
"13083",1801,3854,53623,2012
"13085",3152,6219,128988,2012
"13087",2982,6463,98623,2012
"13089",163456,286429,6470859,2012
"13091",1692,3729,49472,2012
"13093",1288,2716,32685,2012
"13095",14468,27458,448042,2012
"13097",26158,53051,894901,2012
"13099",1055,2421,61848,2012
"13101",497,1271,10891,2012
"13103",7032,14397,258866,2012
"13105",1854,3982,49857,2012
"13107",2109,4604,55701,2012
"13109",1956,3674,43004,2012
"13111",2412,4737,81531,2012
"13113",17142,35981,934717,2012
"13115",9584,19566,246790,2012
"13117",21042,44569,1356156,2012
"13119",2891,6651,82854,2012
"13121",239739,400592,11198879,2012
"13123",3029,6487,81903,2012
"13125",194,426,5977,2012
"13127",9727,19510,416149,2012
"13129",5634,13218,172341,2012
"13131",2427,5100,64840,2012
"13133",1852,3565,77194,2012
"13135",113921,227847,4870365,2012
"13137",4597,10706,150165,2012
"13139",20583,44075,865410,2012
"13141",815,1666,36443,2012
"13143",3531,7540,92196,2012
"13145",4685,9793,209018,2012
"13147",2490,5314,83186,2012
"13149",1473,3314,45038,2012
"13151",34367,69309,1199805,2012
"13153",20771,44454,800420,2012
