"GEOID","NAME","MedIncE","MedIncM","GiniE","GiniM","TotPopE","TotPopM","Year"
"26133","Osceola County, Michigan",20897,491,0.4308,0.0123,23172,NA,2016
"26137","Otsego County, Michigan",24183,1041,0.4226,0.027,24198,NA,2016
"26031","Cheboygan County, Michigan",21259,602,0.4549,0.0221,25579,NA,2016
"26095","Luce County, Michigan",19324,1120,0.406,0.0234,6451,NA,2016
"26099","Macomb County, Michigan",28622,397,0.4253,0.005,859703,NA,2016
"26155","Shiawassee County, Michigan",25633,647,0.4079,0.0104,68800,NA,2016
"26013","Baraga County, Michigan",23281,1533,0.4305,0.0233,8612,NA,2016
"26029","Charlevoix County, Michigan",25800,736,0.4687,0.0202,26172,NA,2016
"26045","Eaton County, Michigan",30322,506,0.4065,0.0096,108544,NA,2016
"26053","Gogebic County, Michigan",19950,925,0.4559,0.0196,15650,NA,2016
"26047","Emmet County, Michigan",26172,891,0.47,0.0288,33091,NA,2016
"26115","Monroe County, Michigan",28110,810,0.414,0.0078,149945,NA,2016
"26059","Hillsdale County, Michigan",23087,641,0.4363,0.0154,46024,NA,2016
"26127","Oceana County, Michigan",21051,881,0.4186,0.0159,26152,NA,2016
"26035","Clare County, Michigan",19474,917,0.4471,0.0197,30608,NA,2016
"26083","Keweenaw County, Michigan",23630,2071,0.4564,0.0376,2195,NA,2016
"26139","Ottawa County, Michigan",26762,395,0.4156,0.0084,276583,NA,2016
"26007","Alpena County, Michigan",21774,671,0.4314,0.0147,28929,NA,2016
"26111","Midland County, Michigan",27200,829,0.4654,0.0126,83559,NA,2016
"26129","Ogemaw County, Michigan",20424,741,0.4347,0.0119,21103,NA,2016
"26039","Crawford County, Michigan",21809,1328,0.4028,0.0343,13840,NA,2016
"26057","Gratiot County, Michigan",22205,703,0.4532,0.0139,41676,NA,2016
"26091","Lenawee County, Michigan",24820,659,0.4204,0.0129,98673,NA,2016
"26097","Mackinac County, Michigan",23786,1229,0.4314,0.0181,10998,NA,2016
"26061","Houghton County, Michigan",18930,894,0.4589,0.0144,36565,NA,2016
"26085","Lake County, Michigan",17268,689,0.4429,0.0134,11415,NA,2016
"26141","Presque Isle County, Michigan",22386,804,0.3994,0.0152,12955,NA,2016
"26077","Kalamazoo County, Michigan",24323,536,0.467,0.0069,258605,NA,2016
"26123","Newaygo County, Michigan",21924,542,0.4315,0.0126,47957,NA,2016
"26025","Calhoun County, Michigan",23634,747,0.4402,0.0092,134691,NA,2016
"26081","Kent County, Michigan",26594,276,0.4596,0.0051,629352,NA,2016
"26145","Saginaw County, Michigan",23156,574,0.4563,0.0089,195201,NA,2016
"26017","Bay County, Michigan",24454,755,0.4371,0.0126,106107,NA,2016
"26041","Delta County, Michigan",22170,644,0.4387,0.018,36570,NA,2016
"26033","Chippewa County, Michigan",20753,765,0.4312,0.0161,38330,NA,2016
"26005","Allegan County, Michigan",27237,597,0.4129,0.0122,113666,NA,2016
"26125","Oakland County, Michigan",35220,274,0.4683,0.0032,1235215,NA,2016
"26003","Alger County, Michigan",21674,1021,0.422,0.0348,9396,NA,2016
"26121","Muskegon County, Michigan",22348,367,0.4321,0.0079,172148,NA,2016
"26089","Leelanau County, Michigan",27784,1296,0.4767,0.0222,21764,NA,2016
"26087","Lapeer County, Michigan",26170,632,0.3992,0.0102,88310,NA,2016
